iter	Logloss
0	0.5860835927
1	0.5308080656
2	0.4921923128
3	0.4711235525
4	0.4582760825
5	0.4479725091
6	0.4418227003
7	0.4374006693
8	0.4341402196
9	0.4301362273
10	0.4260753902
11	0.4231064054
12	0.4191995907
13	0.4175610152
14	0.4174659678
15	0.4141599407
16	0.4117735073
17	0.4105145381
18	0.4083964464
19	0.4050058917
20	0.4030660741
21	0.3979537079
22	0.3971769798
23	0.3937741863
24	0.3928079408
25	0.3918335737
26	0.3882430936
27	0.3881183735
28	0.3874612828
29	0.3843649434
30	0.3832608695
31	0.3810294267
32	0.3795860738
33	0.3775641426
34	0.3764520675
35	0.3739036955
36	0.3724665943
37	0.3714275209
38	0.3702451881
39	0.3675560425
40	0.3652538671
41	0.3643736982
42	0.3621099928
43	0.3603763227
44	0.3583446129
45	0.357419586
46	0.3564441664
47	0.3532615037
48	0.3507960917
49	0.3487863218
50	0.3465596542
51	0.3441904456
52	0.3433620017
53	0.3416460626
54	0.3376350223
55	0.3359021771
56	0.3339773533
57	0.3330589731
58	0.3288988152
59	0.3258861147
60	0.3241420148
61	0.3213354198
62	0.3192418794
63	0.3170194516
64	0.3164088262
65	0.3125892975
66	0.309742815
67	0.3091723796
68	0.3075330133
69	0.3066239522
70	0.305542592
71	0.3040654994
72	0.3031535682
73	0.3019038818
74	0.3006094738
75	0.2996211677
76	0.2991028625
77	0.2973075691
78	0.2960843182
79	0.2958086274
80	0.2931045506
81	0.2916711534
82	0.2895351289
83	0.2887300335
84	0.2878763361
85	0.2869798188
86	0.2865566688
87	0.2850378798
88	0.2843533644
89	0.2826225242
90	0.2823669798
91	0.2796885871
92	0.2788532646
93	0.2782122886
94	0.2766441288
95	0.2761183084
96	0.2753312974
97	0.2735835485
98	0.2730054432
99	0.2715984132
