iter	Passed	Remaining
0	19	1936
1	30	1501
2	39	1286
3	44	1061
4	50	952
5	55	875
6	60	802
7	63	726
8	66	667
9	68	619
10	74	601
11	77	566
12	80	537
13	83	512
14	85	482
15	89	472
16	93	454
17	96	437
18	98	420
19	101	406
20	106	400
21	109	388
22	112	376
23	117	371
24	121	364
25	124	354
26	127	344
27	130	335
28	133	326
29	135	317
30	138	308
31	141	301
32	144	293
33	147	286
34	150	279
35	154	274
36	159	270
37	163	267
38	166	260
39	169	254
40	172	248
41	175	242
42	178	236
43	181	230
44	185	226
45	189	222
46	192	216
47	195	211
48	198	206
49	201	201
50	204	196
51	207	191
52	211	187
53	215	183
54	218	178
55	221	174
56	224	169
57	227	164
58	230	160
59	234	156
60	238	152
61	241	148
62	244	143
63	247	139
64	250	134
65	253	130
66	256	126
67	260	122
68	264	118
69	267	114
70	270	110
71	273	106
72	276	102
73	279	98
74	282	94
75	286	90
76	290	86
77	293	82
78	296	78
79	299	74
80	302	70
81	305	67
82	308	63
83	311	59
84	314	55
85	317	51
86	320	47
87	323	44
88	325	40
89	328	36
90	331	32
91	335	29
92	340	25
93	343	21
94	346	18
95	349	14
96	352	10
97	355	7
98	358	3
99	361	0
