iter	RMSE
0	158354143.7
1	131486684.6
2	109683451.6
3	92651936.4
4	78847904.28
5	67836308.44
6	59586916.3
7	53302842.08
8	47499825.37
9	42721907.98
10	39225593.43
11	36380192.6
12	34294468.09
13	32560112.85
14	31029791.23
15	29726824.95
16	28647954.3
17	27357415.02
18	26516704.39
19	25531094.47
20	24617766.79
21	24023986.21
22	23468690.57
23	22875303.69
24	22210957.21
25	21521881.09
26	20967673.97
27	20441176.82
28	19947351.06
29	19478111.19
30	19192861.75
31	18993171.85
32	18604953.21
33	18401126.87
34	18250207.35
35	17869946.7
36	17584758.25
37	17371617.16
38	17173470.17
39	17069377.02
40	16826361.17
41	16575342.03
42	16375922.02
43	16182041.64
44	16068075.02
45	15922705.32
46	15814795.11
47	15613432.67
48	15491807.45
49	15392930.83
50	15214775.42
51	15149572.28
52	15028124.82
53	14979023.19
54	14759095.05
55	14567015.15
56	14423534.76
57	14367955.3
58	14309631.15
59	14132580.75
60	14061096.15
61	13971876.05
62	13830454.39
63	13711751.97
64	13578493.87
65	13459751.16
66	13358101.47
67	13256994.95
68	13078210.53
69	13011808.21
70	12942060.38
71	12883613.56
72	12752787.75
73	12641435.61
74	12581055.5
75	12558719.83
76	12528849.47
77	12464791.46
78	12422071.86
79	12328112.47
80	12275102.14
81	12256622.5
82	12218487.97
83	12141623.19
84	12115666.62
85	11920759.72
86	11827069.75
87	11759583.99
88	11680057.41
89	11660677.96
90	11611969.05
91	11528289.85
92	11422612.4
93	11387458.8
94	11207872.87
95	11084657.02
96	11031807.93
97	10989926.95
98	10969561.83
99	10951975.78
100	10842417.39
101	10766788.49
102	10727451.88
103	10665721.85
104	10583699.9
105	10481412.96
106	10436501.22
107	10411841.13
108	10385191.1
109	10281523.05
110	10216228.63
111	10208378.25
112	10120400.62
113	9975493.232
114	9953720.822
115	9930146.439
116	9879460.181
117	9829282.665
118	9811587.009
119	9741787.882
120	9681796.918
121	9651459.175
122	9601265.432
123	9584063.672
124	9534669.922
125	9456312.35
126	9426270.721
127	9363320.383
128	9300405.062
129	9163957.513
130	9135266.083
131	9087587.2
132	9030493.276
133	8980056.063
134	8843066.969
135	8818145.762
136	8783795.117
137	8754603.488
138	8729005.963
139	8635092.647
140	8601706.531
141	8598271.027
142	8574295.363
143	8554689.849
144	8523258.864
145	8505214.228
146	8367773.952
147	8353810.997
148	8259387.677
149	8222618.092
150	8215538.26
151	8190352.373
152	8173472.041
153	8056163.092
154	8007012.634
155	7976121.559
156	7962422.771
157	7952477.375
158	7915480.593
159	7878522.296
160	7853575.634
161	7814658.465
162	7805561.092
163	7777301.079
164	7763388.416
165	7737482.13
166	7717980.737
167	7711988.779
168	7667429.662
169	7635290.077
170	7603084.072
171	7593555.292
172	7568401.688
173	7559008.376
174	7488868.768
175	7472862.886
176	7461086.682
177	7408196.301
178	7393491.782
179	7382817.968
180	7372805.642
181	7339021.27
182	7299359.076
183	7288755.881
184	7271045.106
185	7205360.99
186	7199253.033
187	7103440.641
188	7100511.989
189	7088934.468
190	7076026.548
191	7060771.936
192	7047413.108
193	7033252.141
194	7017023.165
195	6986592.15
196	6962527.527
197	6953787.027
198	6940658.234
199	6893349.894
