iter	Passed	Remaining
0	9	1868
1	15	1521
2	21	1399
3	27	1323
4	33	1298
5	40	1295
6	46	1281
7	52	1259
8	58	1244
9	64	1226
10	71	1226
11	77	1212
12	83	1202
13	89	1192
14	95	1181
15	102	1173
16	108	1163
17	114	1154
18	120	1144
19	126	1138
20	132	1126
21	138	1120
22	144	1112
23	150	1102
24	156	1097
25	162	1089
26	168	1082
27	174	1074
28	181	1068
29	187	1062
30	195	1068
31	209	1098
32	233	1180
33	245	1200
34	256	1211
35	264	1204
36	273	1204
37	280	1196
38	286	1183
39	293	1172
40	298	1158
41	305	1149
42	313	1145
43	319	1133
44	326	1124
45	332	1114
46	339	1106
47	346	1095
48	352	1085
49	359	1077
50	365	1067
51	371	1057
52	378	1049
53	384	1040
54	391	1031
55	404	1041
56	412	1035
57	420	1028
58	426	1020
59	433	1010
60	439	1002
61	449	1000
62	459	999
63	468	996
64	585	1216
65	609	1237
66	620	1231
67	631	1224
68	640	1216
69	650	1208
70	659	1199
71	669	1190
72	679	1182
73	688	1172
74	698	1164
75	711	1160
76	721	1153
77	735	1150
78	746	1142
79	755	1133
80	766	1125
81	778	1120
82	788	1111
83	800	1104
84	813	1101
85	820	1087
86	837	1088
87	845	1076
88	853	1064
89	862	1054
90	869	1041
91	878	1030
92	884	1017
93	891	1004
94	897	992
95	904	979
96	910	966
97	917	955
98	924	942
99	931	931
100	937	918
101	943	906
102	950	895
103	956	882
104	962	870
105	969	859
106	976	849
107	983	837
108	989	826
109	996	815
110	1002	803
111	1009	793
112	1028	791
113	1037	783
114	1044	772
115	1052	762
116	1059	751
117	1065	740
118	1072	729
119	1078	719
120	1085	708
121	1092	698
122	1098	687
123	1105	677
124	1112	667
125	1120	658
126	1128	648
127	1135	638
128	1143	629
129	1151	620
130	1159	610
131	1166	601
132	1174	591
133	1181	582
134	1189	572
135	1197	563
136	1204	553
137	1215	545
138	1229	539
139	1237	530
140	1247	521
141	1254	512
142	1261	503
143	1269	493
144	1277	484
145	1284	475
146	1291	465
147	1299	456
148	1306	447
149	1314	438
150	1321	428
151	1329	419
152	1336	410
153	1344	401
154	1351	392
155	1359	383
156	1366	374
157	1375	365
158	1382	356
159	1390	347
160	1396	338
161	1406	329
162	1415	321
163	1430	314
164	1440	305
165	1451	297
166	1461	288
167	1468	279
168	1475	270
169	1482	261
170	1489	252
171	1497	243
172	1504	234
173	1513	226
174	1520	217
175	1527	208
176	1534	199
177	1541	190
178	1547	181
179	1553	172
180	1560	163
181	1567	155
182	1574	146
183	1581	137
184	1588	128
185	1595	120
186	1602	111
187	1614	103
188	1622	94
189	1630	85
190	1638	77
191	1644	68
192	1659	60
193	1671	51
194	1678	43
195	1684	34
196	1691	25
197	1700	17
198	1707	8
199	1714	0
